Numero de documentos: 18046 
Numero de palabras del corpus: 10553
Palabra: additional Frec: 46 LogProb: -6.923670510323846
Palabra: additionally Frec: 4 LogProb: -9.164380199599805
Palabra: additive Frec: 4 LogProb: -9.164380199599805
Palabra: address Frec: 57 LogProb: -6.713375101487485
Palabra: adelaide Frec: 3 LogProb: -9.387523750914013
Palabra: adequate Frec: 25 LogProb: -7.515721574012423
Palabra: adequately Frec: 4 LogProb: -9.164380199599805
Palabra: adhere Frec: 20 LogProb: -7.729295674310482
Palabra: adjust Frec: 53 LogProb: -6.78483406546963
Palabra: adjustment Frec: 4 LogProb: -9.164380199599805
Palabra: admin Frec: 11 LogProb: -8.288911462245904
Palabra: administer Frec: 3 LogProb: -9.387523750914013
Palabra: administration Frec: 27 LogProb: -7.4416136018587
Palabra: administrative Frec: 3 LogProb: -9.387523750914013
Palabra: administrator Frec: 2 LogProb: -9.675205823365795
Palabra: admirable Frec: 4 LogProb: -9.164380199599805
Palabra: admiration Frec: 4 LogProb: -9.164380199599805
Palabra: admire Frec: 4 LogProb: -9.164380199599805
Palabra: admission Frec: 2 LogProb: -9.675205823365795
Palabra: admit Frec: 14 LogProb: -8.065767910931694
Palabra: ado Frec: 2 LogProb: -9.675205823365795
Palabra: adobe Frec: 2 LogProb: -9.675205823365795
Palabra: adobeexpcloud Frec: 3 LogProb: -9.387523750914013
Palabra: adopt Frec: 15 LogProb: -8.001229389794123
Palabra: adoptdontshop Frec: 3 LogProb: -9.387523750914013
Palabra: adoption Frec: 5 LogProb: -8.98205864280585
Palabra: adorable Frec: 2 LogProb: -9.675205823365795
Palabra: adphc Frec: 2 LogProb: -9.675205823365795
Palabra: ads Frec: 2 LogProb: -9.675205823365795
Palabra: adult Frec: 36 LogProb: -7.16290019938968
Palabra: adulterate Frec: 2 LogProb: -9.675205823365795
Palabra: advance Frec: 12 LogProb: -8.208868754572368
Palabra: advanced Frec: 11 LogProb: -8.288911462245904
Palabra: advantage Frec: 136 LogProb: -5.853837186205779
Palabra: advent Frec: 2 LogProb: -9.675205823365795
Palabra: adventure Frec: 17 LogProb: -7.88344635413774
Palabra: adverse Frec: 2 LogProb: -9.675205823365795
Palabra: adversity Frec: 8 LogProb: -8.576593534697684
Palabra: advert Frec: 3 LogProb: -9.387523750914013
Palabra: advertise Frec: 10 LogProb: -8.375922839235534
Palabra: advertisement Frec: 2 LogProb: -9.675205823365795
Palabra: advertiser Frec: 5 LogProb: -8.98205864280585
Palabra: advertising Frec: 33 LogProb: -7.247457587417743
Palabra: advice Frec: 138 LogProb: -5.839344178903213
Palabra: advisable Frec: 2 LogProb: -9.675205823365795
Palabra: advise Frec: 33 LogProb: -7.247457587417743
Palabra: adviser Frec: 6 LogProb: -8.82790796297859
Palabra: advisor Frec: 6 LogProb: -8.82790796297859
Palabra: advisors Frec: 6 LogProb: -8.82790796297859
Palabra: advisory Frec: 14 LogProb: -8.065767910931694
Palabra: advisorymandi Frec: 3 LogProb: -9.387523750914013
Palabra: advocacy Frec: 5 LogProb: -8.98205864280585
Palabra: advocate Frec: 22 LogProb: -7.638323896104755
Palabra: aeon Frec: 2 LogProb: -9.675205823365795
Palabra: aerosol Frec: 6 LogProb: -8.82790796297859
Palabra: aest Frec: 2 LogProb: -9.675205823365795
Palabra: af Frec: 5 LogProb: -8.98205864280585
Palabra: afar Frec: 3 LogProb: -9.387523750914013
Palabra: affair Frec: 9 LogProb: -8.47123301903986
Palabra: affairs Frec: 36 LogProb: -7.16290019938968
Palabra: affect Frec: 193 LogProb: -5.505959952970576
Palabra: affected Frec: 8 LogProb: -8.576593534697684
Palabra: affiliate Frec: 9 LogProb: -8.47123301903986
Palabra: affluent Frec: 3 LogProb: -9.387523750914013
Palabra: afford Frec: 75 LogProb: -6.443084771747573
Palabra: affordable Frec: 55 LogProb: -6.7484664212987555
Palabra: afghanistan Frec: 4 LogProb: -9.164380199599805
Palabra: afloat Frec: 7 LogProb: -8.694376570354068
Palabra: afraid Frec: 25 LogProb: -7.515721574012423
Palabra: africa Frec: 36 LogProb: -7.16290019938968
Palabra: africaautoinsight Frec: 2 LogProb: -9.675205823365795
Palabra: african Frec: 16 LogProb: -7.940604767977688
Palabra: africansarenotlabrat Frec: 2 LogProb: -9.675205823365795
Palabra: afterhour Frec: 2 LogProb: -9.675205823365795
Palabra: afterlife Frec: 2 LogProb: -9.675205823365795
Palabra: aftermath Frec: 5 LogProb: -8.98205864280585
Palabra: afternoon Frec: 18 LogProb: -7.829379132867464
Palabra: ag Frec: 27 LogProb: -7.4416136018587
Palabra: agai Frec: 2 LogProb: -9.675205823365795
Palabra: agaisnt Frec: 3 LogProb: -9.387523750914013
Palabra: age Frec: 64 LogProb: -6.5994308421382675
Palabra: aged Frec: 10 LogProb: -8.375922839235534
Palabra: agency Frec: 53 LogProb: -6.78483406546963
Palabra: agenda Frec: 2 LogProb: -9.675205823365795
Palabra: agenparl Frec: 4 LogProb: -9.164380199599805
Palabra: agent Frec: 16 LogProb: -7.940604767977688
Palabra: aggregate Frec: 3 LogProb: -9.387523750914013
Palabra: aggressive Frec: 2 LogProb: -9.675205823365795
Palabra: aggressively Frec: 2 LogProb: -9.675205823365795
Palabra: agnesian Frec: 2 LogProb: -9.675205823365795
Palabra: ago Frec: 104 LogProb: -6.119857761876381
Palabra: agree Frec: 109 LogProb: -6.073337746241489
Palabra: agreed Frec: 5 LogProb: -8.98205864280585
Palabra: agreement Frec: 21 LogProb: -7.682775658675588
Palabra: agri Frec: 8 LogProb: -8.576593534697684
Palabra: agribusiness Frec: 2 LogProb: -9.675205823365795
Palabra: agric Frec: 4 LogProb: -9.164380199599805
Palabra: agricultural Frec: 17 LogProb: -7.88344635413774
Palabra: agriculture Frec: 38 LogProb: -7.110256465904258
Palabra: agro Frec: 3 LogProb: -9.387523750914013
Palabra: agtech Frec: 3 LogProb: -9.387523750914013
Palabra: aguh Frec: 2 LogProb: -9.675205823365795
Palabra: ah Frec: 6 LogProb: -8.82790796297859
Palabra: ahead Frec: 47 LogProb: -6.902617101126014
Palabra: ahmed Frec: 3 LogProb: -9.387523750914013
Palabra: ahmedabad Frec: 3 LogProb: -9.387523750914013
Palabra: ai Frec: 24 LogProb: -7.554942287165703
Palabra: aid Frec: 51 LogProb: -6.822574393452477
Palabra: aide Frec: 4 LogProb: -9.164380199599805
Palabra: aids Frec: 4 LogProb: -9.164380199599805
Palabra: aim Frec: 34 LogProb: -7.21847005054449
Palabra: aimlessly Frec: 2 LogProb: -9.675205823365795
Palabra: ain Frec: 3 LogProb: -9.387523750914013
Palabra: air Frec: 50 LogProb: -6.841992479309579
Palabra: airbnbs Frec: 2 LogProb: -9.675205823365795
Palabra: airborne Frec: 9 LogProb: -8.47123301903986
Palabra: aircraft Frec: 2 LogProb: -9.675205823365795
Palabra: airline Frec: 51 LogProb: -6.822574393452477
Palabra: airlinebailout Frec: 2 LogProb: -9.675205823365795
Palabra: airlines Frec: 10 LogProb: -8.375922839235534
Palabra: airlines@ Frec: 2 LogProb: -9.675205823365795
Palabra: airplane Frec: 3 LogProb: -9.387523750914013
Palabra: airport Frec: 24 LogProb: -7.554942287165703
Palabra: airsoft Frec: 2 LogProb: -9.675205823365795
Palabra: airtravel Frec: 2 LogProb: -9.675205823365795
Palabra: aisle Frec: 102 LogProb: -6.139089123804268
Palabra: aisles Frec: 2 LogProb: -9.675205823365795
Palabra: aj Frec: 2 LogProb: -9.675205823365795
Palabra: aka Frec: 11 LogProb: -8.288911462245904
Palabra: akira Frec: 2 LogProb: -9.675205823365795
Palabra: al Frec: 17 LogProb: -7.88344635413774
Palabra: alabama Frec: 9 LogProb: -8.47123301903986
Palabra: alajuela Frec: 2 LogProb: -9.675205823365795
Palabra: alan Frec: 5 LogProb: -8.98205864280585
Palabra: alarm Frec: 5 LogProb: -8.98205864280585
Palabra: alarming Frec: 5 LogProb: -8.98205864280585
Palabra: albania Frec: 3 LogProb: -9.387523750914013
Palabra: albanian Frec: 2 LogProb: -9.675205823365795
Palabra: albert Frec: 2 LogProb: -9.675205823365795
Palabra: alberta Frec: 16 LogProb: -7.940604767977688
Palabra: albertsons Frec: 4 LogProb: -9.164380199599805
Palabra: album Frec: 3 LogProb: -9.387523750914013
Palabra: albuterol Frec: 2 LogProb: -9.675205823365795
Palabra: alchohol Frec: 3 LogProb: -9.387523750914013
Palabra: alcohol Frec: 211 LogProb: -5.417231837361892
Palabra: alcoholic Frec: 8 LogProb: -8.576593534697684
Palabra: aldi Frec: 23 LogProb: -7.595764281685959
Palabra: alert Frec: 120 LogProb: -5.978027566437163
Palabra: alex Frec: 6 LogProb: -8.82790796297859
Palabra: alexa Frec: 4 LogProb: -9.164380199599805
Palabra: alexis Frec: 2 LogProb: -9.675205823365795
Palabra: algo Frec: 3 LogProb: -9.387523750914013
Palabra: algorithm Frec: 2 LogProb: -9.675205823365795
Palabra: algorithms Frec: 2 LogProb: -9.675205823365795
Palabra: ali Frec: 3 LogProb: -9.387523750914013
Palabra: alibaba Frec: 6 LogProb: -8.82790796297859
Palabra: alien Frec: 3 LogProb: -9.387523750914013
Palabra: aliens Frec: 2 LogProb: -9.675205823365795
Palabra: align Frec: 5 LogProb: -8.98205864280585
Palabra: alike Frec: 8 LogProb: -8.576593534697684
Palabra: alive Frec: 36 LogProb: -7.16290019938968
Palabra: alkaline Frec: 2 LogProb: -9.675205823365795
Palabra: allah Frec: 10 LogProb: -8.375922839235534
Palabra: allan Frec: 2 LogProb: -9.675205823365795
Palabra: allege Frec: 3 LogProb: -9.387523750914013
Palabra: allegedly Frec: 6 LogProb: -8.82790796297859
Palabra: allen Frec: 3 LogProb: -9.387523750914013
Palabra: allergy Frec: 9 LogProb: -8.47123301903986
Palabra: alleviate Frec: 10 LogProb: -8.375922839235534
Palabra: alliance Frec: 3 LogProb: -9.387523750914013
Palabra: allinthistogether Frec: 3 LogProb: -9.387523750914013
Palabra: allocate Frec: 12 LogProb: -8.208868754572368
Palabra: allocation Frec: 2 LogProb: -9.675205823365795
Palabra: allow Frec: 269 LogProb: -5.175396153035529
Palabra: allowed Frec: 2 LogProb: -9.675205823365795
Palabra: allstate Frec: 4 LogProb: -9.164380199599805
Palabra: ally Frec: 3 LogProb: -9.387523750914013
Palabra: almond Frec: 5 LogProb: -8.98205864280585
Palabra: aloe Frec: 16 LogProb: -7.940604767977688
Palabra: alonetogether Frec: 8 LogProb: -8.576593534697684
Palabra: alongside Frec: 8 LogProb: -8.576593534697684
Palabra: alot Frec: 8 LogProb: -8.576593534697684
Palabra: alovera Frec: 4 LogProb: -9.164380199599805
Palabra: alpha Frec: 2 LogProb: -9.675205823365795
Palabra: alphabet Frec: 2 LogProb: -9.675205823365795
Palabra: alright Frec: 4 LogProb: -9.164380199599805
Palabra: alter Frec: 8 LogProb: -8.576593534697684
Palabra: altered Frec: 3 LogProb: -9.387523750914013
Palabra: alternate Frec: 6 LogProb: -8.82790796297859
Palabra: alternative Frec: 31 LogProb: -7.308082209234178
Palabra: alternativedata Frec: 3 LogProb: -9.387523750914013
Palabra: alternatively Frec: 2 LogProb: -9.675205823365795
Palabra: altruistic Frec: 2 LogProb: -9.675205823365795
Palabra: alum Frec: 2 LogProb: -9.675205823365795
Palabra: aluminium Frec: 2 LogProb: -9.675205823365795
Palabra: alwayswatchingoutforyou Frec: 2 LogProb: -9.675205823365795
Palabra: aman Frec: 2 LogProb: -9.675205823365795
Palabra: amanda Frec: 2 LogProb: -9.675205823365795
Palabra: amateur Frec: 2 LogProb: -9.675205823365795
Palabra: amaze Frec: 3 LogProb: -9.387523750914013
Palabra: amazed Frec: 7 LogProb: -8.694376570354068
Palabra: amazing Frec: 134 LogProb: -5.868543333595475
Palabra: amazon Frec: 237 LogProb: -5.301547438362429
Palabra: amazonprime Frec: 3 LogProb: -9.387523750914013
Palabra: amazonsmile Frec: 5 LogProb: -8.98205864280585
Palabra: ambani Frec: 2 LogProb: -9.675205823365795
Palabra: ambassador Frec: 4 LogProb: -9.164380199599805
Palabra: amber Frec: 2 LogProb: -9.675205823365795
Palabra: ambulance Frec: 19 LogProb: -7.778085838479913
Palabra: ame Frec: 2 LogProb: -9.675205823365795
Palabra: amen Frec: 6 LogProb: -8.82790796297859
Palabra: amend Frec: 4 LogProb: -9.164380199599805
Palabra: amendment Frec: 5 LogProb: -8.98205864280585
Palabra: amenity Frec: 2 LogProb: -9.675205823365795
Palabra: amer Frec: 2 LogProb: -9.675205823365795
Palabra: america Frec: 100 LogProb: -6.158697595192645
Palabra: american Frec: 77 LogProb: -6.417109285344313
Palabra: americanbusiness Frec: 4 LogProb: -9.164380199599805
Palabra: americans Frec: 123 LogProb: -5.953536546428867
Palabra: americas Frec: 4 LogProb: -9.164380199599805
Palabra: amex Frec: 2 LogProb: -9.675205823365795
Palabra: amid Frec: 309 LogProb: -5.037245814554712
Palabra: amidst Frec: 57 LogProb: -6.713375101487485
Palabra: ammo Frec: 7 LogProb: -8.694376570354068
Palabra: ammonia Frec: 3 LogProb: -9.387523750914013
Palabra: amount Frec: 23 LogProb: -7.595764281685959
Palabra: amp Frec: 2543 LogProb: -2.9323251875738916
Palabra: amp;basic Frec: 3 LogProb: -9.387523750914013
Palabra: ample Frec: 6 LogProb: -8.82790796297859
Palabra: amplify Frec: 2 LogProb: -9.675205823365795
Palabra: amputee Frec: 2 LogProb: -9.675205823365795
Palabra: amusement Frec: 3 LogProb: -9.387523750914013
Palabra: amusing Frec: 2 LogProb: -9.675205823365795
Palabra: amway Frec: 2 LogProb: -9.675205823365795
Palabra: amwrite Frec: 5 LogProb: -8.98205864280585
Palabra: amy Frec: 3 LogProb: -9.387523750914013
Palabra: amzn Frec: 4 LogProb: -9.164380199599805
Palabra: ana Frec: 3 LogProb: -9.387523750914013
Palabra: analyse Frec: 3 LogProb: -9.387523750914013
Palabra: analysis Frec: 39 LogProb: -7.084938657919968
Palabra: analyst Frec: 30 LogProb: -7.339830907548758
Palabra: analytic Frec: 7 LogProb: -8.694376570354068
Palabra: analytics Frec: 7 LogProb: -8.694376570354068
Palabra: analyze Frec: 9 LogProb: -8.47123301903986
Palabra: anand Frec: 2 LogProb: -9.675205823365795
Palabra: ancestor Frec: 3 LogProb: -9.387523750914013
Palabra: ancient Frec: 3 LogProb: -9.387523750914013
Palabra: and/or Frec: 15 LogProb: -8.001229389794123
Palabra: anderson Frec: 3 LogProb: -9.387523750914013
Palabra: andrea Frec: 2 LogProb: -9.675205823365795
Palabra: andrew Frec: 10 LogProb: -8.375922839235534
Palabra: andrex Frec: 3 LogProb: -9.387523750914013
Palabra: android Frec: 11 LogProb: -8.288911462245904
Palabra: andy Frec: 4 LogProb: -9.164380199599805
Palabra: anecdote Frec: 3 LogProb: -9.387523750914013
Palabra: ang Frec: 4 LogProb: -9.164380199599805
Palabra: angel Frec: 10 LogProb: -8.375922839235534
Palabra: angela Frec: 9 LogProb: -8.47123301903986
Palabra: angelamerkel Frec: 2 LogProb: -9.675205823365795
Palabra: angelenos Frec: 2 LogProb: -9.675205823365795
Palabra: angeles Frec: 13 LogProb: -8.134760782418645
Palabra: angry Frec: 6 LogProb: -8.82790796297859
Palabra: anheuser Frec: 7 LogProb: -8.694376570354068
Palabra: anheuserbusch Frec: 2 LogProb: -9.675205823365795
Palabra: anhydrous Frec: 2 LogProb: -9.675205823365795
Palabra: ani Frec: 2 LogProb: -9.675205823365795
Palabra: animal Frec: 44 LogProb: -6.967155622263585
Palabra: animalcrossing Frec: 4 LogProb: -9.164380199599805
Palabra: animalcrossingnewhorizon Frec: 6 LogProb: -8.82790796297859
Palabra: animals Frec: 2 LogProb: -9.675205823365795
Palabra: animation Frec: 3 LogProb: -9.387523750914013
Palabra: anjalilai Frec: 2 LogProb: -9.675205823365795
Palabra: anna Frec: 3 LogProb: -9.387523750914013
Palabra: anniversary Frec: 3 LogProb: -9.387523750914013
Palabra: annotate Frec: 4 LogProb: -9.164380199599805
