Numero de documentos: 15397 
Numero de palabras del corpus: 9546
Palabra: adjustment Frec: 3 LogProb: -8.470730317005897
Palabra: admin Frec: 3 LogProb: -8.470730317005897
Palabra: administer Frec: 2 LogProb: -8.758412389457677
Palabra: administration Frec: 28 LogProb: -6.489728848139313
Palabra: administrative Frec: 3 LogProb: -8.470730317005897
Palabra: administrator Frec: 3 LogProb: -8.470730317005897
Palabra: admit Frec: 10 LogProb: -7.459129405327417
Palabra: adopt Frec: 8 LogProb: -7.6598001007895675
Palabra: adoption Frec: 5 LogProb: -8.065265208897733
Palabra: adote Frec: 6 LogProb: -7.911114529070474
Palabra: adriana Frec: 2 LogProb: -8.758412389457677
Palabra: ads Frec: 12 LogProb: -7.29207532066425
Palabra: adult Frec: 30 LogProb: -6.423037473640641
Palabra: adulteration Frec: 2 LogProb: -8.758412389457677
Palabra: advance Frec: 11 LogProb: -7.372118028337787
Palabra: advancement Frec: 2 LogProb: -8.758412389457677
Palabra: advantage Frec: 127 LogProb: -5.00499441420617
Palabra: advent Frec: 2 LogProb: -8.758412389457677
Palabra: adventure Frec: 3 LogProb: -8.470730317005897
Palabra: adverse Frec: 4 LogProb: -8.247586765691686
Palabra: adversely Frec: 5 LogProb: -8.065265208897733
Palabra: adversity Frec: 2 LogProb: -8.758412389457677
Palabra: advert Frec: 3 LogProb: -8.470730317005897
Palabra: advertise Frec: 10 LogProb: -7.459129405327417
Palabra: advertisement Frec: 2 LogProb: -8.758412389457677
Palabra: advertising Frec: 24 LogProb: -6.6381488532575865
Palabra: advice Frec: 85 LogProb: -5.402677381872279
Palabra: advisable Frec: 2 LogProb: -8.758412389457677
Palabra: advise Frec: 41 LogProb: -6.119355059842419
Palabra: advisor Frec: 3 LogProb: -8.470730317005897
Palabra: advisory Frec: 5 LogProb: -8.065265208897733
Palabra: advisorymandi Frec: 5 LogProb: -8.065265208897733
Palabra: advocacy Frec: 2 LogProb: -8.758412389457677
Palabra: advocate Frec: 13 LogProb: -7.217967348510529
Palabra: aerosol Frec: 6 LogProb: -7.911114529070474
Palabra: af Frec: 7 LogProb: -7.777583136445951
Palabra: afar Frec: 2 LogProb: -8.758412389457677
Palabra: affair Frec: 9 LogProb: -7.554439585131742
Palabra: affairs Frec: 27 LogProb: -6.524820167950583
Palabra: affect Frec: 222 LogProb: -4.449852906665669
Palabra: affected Frec: 11 LogProb: -7.372118028337787
Palabra: affiliate Frec: 2 LogProb: -8.758412389457677
Palabra: affirm Frec: 3 LogProb: -8.470730317005897
Palabra: affliction Frec: 2 LogProb: -8.758412389457677
Palabra: afford Frec: 92 LogProb: -5.324425184972531
Palabra: affordable Frec: 21 LogProb: -6.7659822247674715
Palabra: afghanistan Frec: 8 LogProb: -7.6598001007895675
Palabra: afloat Frec: 7 LogProb: -7.777583136445951
Palabra: afoot Frec: 2 LogProb: -8.758412389457677
Palabra: afp Frec: 3 LogProb: -8.470730317005897
Palabra: afraid Frec: 24 LogProb: -6.6381488532575865
Palabra: africa Frec: 43 LogProb: -6.072835044207526
Palabra: african Frec: 18 LogProb: -6.912585698959346
Palabra: africans Frec: 5 LogProb: -8.065265208897733
Palabra: afterall Frec: 2 LogProb: -8.758412389457677
Palabra: afterlife Frec: 2 LogProb: -8.758412389457677
Palabra: aftermath Frec: 11 LogProb: -7.372118028337787
Palabra: afternoon Frec: 23 LogProb: -6.678970847777841
Palabra: ag Frec: 29 LogProb: -6.455827296463632
Palabra: aga Frec: 2 LogProb: -8.758412389457677
Palabra: agai Frec: 2 LogProb: -8.758412389457677
Palabra: age Frec: 40 LogProb: -6.14345261142148
Palabra: aged Frec: 3 LogProb: -8.470730317005897
Palabra: agencies Frec: 4 LogProb: -8.247586765691686
Palabra: agency Frec: 30 LogProb: -6.423037473640641
Palabra: agenda Frec: 5 LogProb: -8.065265208897733
Palabra: agenparl Frec: 2 LogProb: -8.758412389457677
Palabra: agent Frec: 15 LogProb: -7.084435955886006
Palabra: aggravate Frec: 2 LogProb: -8.758412389457677
Palabra: aggression Frec: 2 LogProb: -8.758412389457677
Palabra: aggressive Frec: 12 LogProb: -7.29207532066425
Palabra: aggressively Frec: 6 LogProb: -7.911114529070474
Palabra: agile Frec: 2 LogProb: -8.758412389457677
Palabra: agitate Frec: 2 LogProb: -8.758412389457677
Palabra: agitated Frec: 2 LogProb: -8.758412389457677
Palabra: ago Frec: 80 LogProb: -5.462575523453348
Palabra: agoraphobia Frec: 2 LogProb: -8.758412389457677
Palabra: agoraphobic Frec: 2 LogProb: -8.758412389457677
Palabra: agra Frec: 2 LogProb: -8.758412389457677
Palabra: agree Frec: 67 LogProb: -5.637516972949681
Palabra: agreement Frec: 9 LogProb: -7.554439585131742
Palabra: agri Frec: 5 LogProb: -8.065265208897733
Palabra: agribusiness Frec: 2 LogProb: -8.758412389457677
Palabra: agricultural Frec: 24 LogProb: -6.6381488532575865
Palabra: agriculture Frec: 43 LogProb: -6.072835044207526
Palabra: agrisa Frec: 5 LogProb: -8.065265208897733
Palabra: ah Frec: 4 LogProb: -8.247586765691686
Palabra: ahead Frec: 54 LogProb: -5.849691492893316
Palabra: ahmed Frec: 4 LogProb: -8.247586765691686
Palabra: ai Frec: 10 LogProb: -7.459129405327417
Palabra: aid Frec: 39 LogProb: -6.168145224011851
Palabra: aide Frec: 3 LogProb: -8.470730317005897
Palabra: aim Frec: 18 LogProb: -6.912585698959346
Palabra: aims Frec: 2 LogProb: -8.758412389457677
Palabra: ain Frec: 4 LogProb: -8.247586765691686
Palabra: air Frec: 45 LogProb: -6.0283832816366925
Palabra: airbnb Frec: 4 LogProb: -8.247586765691686
Palabra: airborne Frec: 5 LogProb: -8.065265208897733
Palabra: airfare Frec: 3 LogProb: -8.470730317005897
Palabra: airline Frec: 33 LogProb: -6.330664153509626
Palabra: airlines Frec: 6 LogProb: -7.911114529070474
Palabra: airplane Frec: 2 LogProb: -8.758412389457677
Palabra: airport Frec: 10 LogProb: -7.459129405327417
Palabra: airtravel Frec: 2 LogProb: -8.758412389457677
Palabra: aisect Frec: 2 LogProb: -8.758412389457677
Palabra: aisectfamily Frec: 2 LogProb: -8.758412389457677
Palabra: aisle Frec: 109 LogProb: -5.156544312333371
Palabra: aja Frec: 2 LogProb: -8.758412389457677
Palabra: aka Frec: 6 LogProb: -7.911114529070474
Palabra: akash Frec: 2 LogProb: -8.758412389457677
Palabra: al Frec: 13 LogProb: -7.217967348510529
Palabra: alarm Frec: 10 LogProb: -7.459129405327417
Palabra: alarming Frec: 6 LogProb: -7.911114529070474
Palabra: alas Frec: 2 LogProb: -8.758412389457677
Palabra: alaska Frec: 7 LogProb: -7.777583136445951
Palabra: albany Frec: 2 LogProb: -8.758412389457677
Palabra: albeit Frec: 2 LogProb: -8.758412389457677
Palabra: albert Frec: 2 LogProb: -8.758412389457677
Palabra: alberta Frec: 20 LogProb: -6.812502240402364
Palabra: albertans Frec: 4 LogProb: -8.247586765691686
Palabra: albertsons Frec: 3 LogProb: -8.470730317005897
Palabra: alcohol Frec: 70 LogProb: -5.594344801084472
Palabra: aldi Frec: 15 LogProb: -7.084435955886006
Palabra: alert Frec: 71 LogProb: -5.580358559109732
Palabra: alerts Frec: 2 LogProb: -8.758412389457677
Palabra: alex Frec: 4 LogProb: -8.247586765691686
Palabra: alexander Frec: 3 LogProb: -8.470730317005897
Palabra: algeria Frec: 7 LogProb: -7.777583136445951
Palabra: algorithm Frec: 2 LogProb: -8.758412389457677
Palabra: alien Frec: 5 LogProb: -8.065265208897733
Palabra: alight Frec: 2 LogProb: -8.758412389457677
Palabra: alike Frec: 6 LogProb: -7.911114529070474
Palabra: alive Frec: 14 LogProb: -7.148974477023577
